,water_pressure,log_ambient_temp,humidity,date_hour,date_x,water_temp,ambient_temp,valve_state,date_y
0,1.68,2.84,22.05,2024-12-05 14:48,2024-12-05,3.31,2.25,STUPA,2024-12-05
1,0.18,3.05,21.94,2024-12-05 14:50,2024-12-05,3.44,2.31,STUPA,2024-12-05
2,0.18,3.05,21.94,2024-12-05 14:50,2024-12-05,3.44,2.5,DRAIN,2024-12-05
3,0.14,3.24,21.69,2024-12-05 14:52,2024-12-05,3.31,2.5,DRAIN,2024-12-05
4,0.14,3.24,21.69,2024-12-05 14:52,2024-12-05,3.31,2.44,DRAIN,2024-12-05
5,0.18,3.78,22.22,2024-12-05 14:55,2024-12-05,3.25,2.19,DRAIN,2024-12-05
6,0.18,3.78,22.22,2024-12-05 14:55,2024-12-05,3.25,2.31,DRAIN,2024-12-05
7,0.18,3.78,22.22,2024-12-05 14:55,2024-12-05,3.19,2.37,DRAIN,2024-12-05
8,0.14,4.21,22.33,2024-12-05 14:57,2024-12-05,3.19,2.06,DRAIN,2024-12-05
9,0.14,4.21,22.33,2024-12-05 14:57,2024-12-05,3.19,2.0,DRAIN,2024-12-05
10,0.14,3.94,21.21,2024-12-05 14:59,2024-12-05,3.19,2.0,DRAIN,2024-12-05
11,0.14,3.94,21.21,2024-12-05 14:59,2024-12-05,3.12,1.87,DRAIN,2024-12-05
12,0.19,2.66,23.24,2024-12-05 15:01,2024-12-05,3.12,1.37,DRAIN,2024-12-05
13,0.19,2.66,23.24,2024-12-05 15:01,2024-12-05,3.12,1.31,DRAIN,2024-12-05
14,0.17,3.1,22.77,2024-12-05 15:03,2024-12-05,3.12,1.19,DRAIN,2024-12-05
15,0.17,3.1,22.77,2024-12-05 15:03,2024-12-05,3.12,3.12,DRAIN,2024-12-05
16,0.17,3.1,22.77,2024-12-05 15:03,2024-12-05,3.19,4.19,DRAIN,2024-12-05
17,0.14,2.2,24.03,2024-12-05 15:05,2024-12-05,3.12,6.0,DRAIN,2024-12-05
18,0.14,2.2,24.03,2024-12-05 15:05,2024-12-05,3.12,5.25,DRAIN,2024-12-05
19,0.14,1.41,24.47,2024-12-05 15:07,2024-12-05,3.06,7.44,DRAIN,2024-12-05
20,0.14,1.41,24.47,2024-12-05 15:07,2024-12-05,3.12,6.81,DRAIN,2024-12-05
21,0.08,-0.02,29.06,2024-12-05 15:27,2024-12-05,3.0,-0.69,DRAIN,2024-12-05
22,0.08,-0.02,29.06,2024-12-05 15:27,2024-12-05,3.0,-0.69,DRAIN,2024-12-05
23,0.08,-0.02,29.06,2024-12-05 15:27,2024-12-05,2.94,-0.62,DRAIN,2024-12-05
24,1.14,-0.09,25.59,2024-12-05 15:30,2024-12-05,3.0,-0.56,DRAIN,2024-12-05
25,1.14,-0.09,25.59,2024-12-05 15:30,2024-12-05,3.0,-0.56,STUPA,2024-12-05
26,1.7,-0.44,25.9,2024-12-05 15:32,2024-12-05,2.94,-1.0,STUPA,2024-12-05
